timestamp,namada.indexer.papadritta.is_up_to_date,namada.indexer.papadritta.status,namada.indexer.papadritta.sync_state,namada.indexer.papadritta.version,namada.interface.papadritta.is_up_to_date,namada.interface.papadritta.status,namada.interface.papadritta.version,namada.masp.papadritta.is_up_to_date,namada.masp.papadritta.status,namada.masp.papadritta.sync_state,namada.masp.papadritta.version,namada.rpc.papadritta.is_up_to_date,namada.rpc.papadritta.status,namada.rpc.papadritta.sync_state,namada.rpc.papadritta.version
2025-05-18T12:29:08.438039+00:00Z,,,,,,,,,,,,,,,
2025-05-20T09:17:30.192971+00:00Z,False,,,,,,,,,,,,,,
2025-05-21T07:15:35.024549+00:00Z,False,,,,False,,,,,,,,,,
2025-05-21T14:16:35.211602+00:00Z,False,,,,True,,1.20.0-hotfix3,,,,,,,,
2025-05-21T16:20:30.820534+00:00Z,True,,,2.5.4,True,,1.20.0-hotfix3,,,,,,,,
2025-05-27T16:20:15.188932+00:00Z,False,,,3.0.2,True,,1.20.0-hotfix3,,,sync_nok,1.3.0,,,,
2025-05-27T19:35:48.274091+00:00Z,True,,,3.0.2,False,,1.20.0-hotfix3,True,,sync_nok,1.3.0,,,,
2025-05-28T01:17:37.540661+00:00Z,,,,,True,,1.21.0,,,,,,,,
2025-05-28T05:16:20.357608+00:00Z,True,up,sync_ok,3.0.2,True,,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-05-29T15:40:48.819963+00:00Z,True,up,sync_ok,3.0.2,True,,1.21.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-31T08:19:30.352751+00:00Z,True,up,sync_ok,3.0.2,True,,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,False,,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T15:15:02.467858+00:00Z,True,up,sync_ok,3.0.2,False,,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T16:17:56.122440+00:00Z,True,up,sync_ok,3.0.2,True,,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,False,up,sync_ok,3.0.2,True,,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T16:20:13.171167+00:00Z,False,up,sync_ok,3.0.2,False,,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-14T11:12:09.437342+00:00Z,True,up,sync_ok,3.1.0,False,,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-14T12:29:59.045458+00:00Z,True,up,sync_ok,3.1.0,True,,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T10:16:40.079168+00:00Z,True,up,sync_nok,3.1.0,True,,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T14:13:23.366284+00:00Z,False,up,sync_nok,3.0.2,True,,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T15:14:56.303071+00:00Z,True,up,sync_nok,3.1.0,True,,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,True,,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T14:16:33.145152+00:00Z,False,up,sync_ok,3.2.0,True,,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T16:20:34.388783+00:00Z,True,up,sync_ok,3.2.0,True,,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,False,,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T07:15:39.346335+00:00Z,True,up,sync_ok,3.2.0,True,,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,False,,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T02:55:39.157956+00:00Z,True,up,sync_ok,3.2.0,True,,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-25T14:44:57.548713+00:00Z,True,up,sync_ok,3.2.0,True,,1.28.2,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-26T08:22:02.697717+00:00Z,True,up,sync_ok,3.2.0,True,,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T13:30:18.789401+00:00Z,True,up,sync_ok,3.2.0,False,,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T14:44:11.375577+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-30T16:20:38.339249+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-08T12:34:55.500530+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-08T14:15:56.985246+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-07-09T11:38:52.934461+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-11T15:17:41.120324+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T10:18:50.241563+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T13:34:03.223503+00:00Z,False,up,sync_ok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T14:45:04.625130+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,False,up,sync_nok,3.3.2,False,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-17T07:19:16.199653+00:00Z,False,down,sync_nok,n/a,True,up,1.31.1,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-07-17T07:41:46.013180+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-07-24T16:19:33.135091+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T04:58:19.836174+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T07:21:11.685496+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T13:37:45.467426+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T17:17:49.516287+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
